sku,offer,image,title,old_price,retailer_sku_code,urls,desc,price,categories,out_of_stock
124254,False,https://a4ucontent.blob.core.windows.net/images/0045088_0.png,T/Garden Cereal Bars Hazelnut 150G,,prod-data-id124254,https://a4ucontent.blob.core.windows.net/images/0045088_0.png,"Tong Garden <br/>
Hazelnut Cereal Bars <br/>
<span style= ""color: gray"">150G</span>",$4.20,,False
124250,False,https://a4ucontent.blob.core.windows.net/images/0047713_0.png,T/Garden Cereal Bars Mango 126G,,prod-data-id124250,https://a4ucontent.blob.core.windows.net/images/0047713_0.png,"Tong Garden <br/>
Mango Cereal Bars <br/>
<span style= ""color: gray"">126G</span>",$4.20,,False
124253,False,https://a4ucontent.blob.core.windows.net/images/0045092_0.png,T/Garden Cereal Bars Straw&W/Choco 126G,,prod-data-id124253,https://a4ucontent.blob.core.windows.net/images/0045092_0.png,"Tong Garden <br/>
Strawberry & White Chocolate Cereal Bars <br/>
<span style= ""color: gray"">126G</span>",$4.20,,False
58549,True,https://a4ucontent.blob.core.windows.net/images/0045167_0.png,Alive Energise Almond Nut Bars 6X33G,,prod-data-id58549,https://a4ucontent.blob.core.windows.net/images/0045167_0.png,"Alive<br/>
Energise Almond Nut Bars<br/>
<span style= ""color: gray""> 6X33G</span>",$4.95,,False
59029,True,https://a4ucontent.blob.core.windows.net/images/0014209_0.png,Alive Muesli Bar Oats&Choc 6X33G,,prod-data-id59029,https://a4ucontent.blob.core.windows.net/images/0014209_0.png,"Alive<br/>
Muesli Bar- Oats & Chocolate<br/>
<span style= ""color: gray""> 6X33G </span>",$4.95,,False
59554,False,https://a4ucontent.blob.core.windows.net/images/0045172_0.png,N/Valley Granola Bars Variety Pack 254G,,prod-data-id59554,https://a4ucontent.blob.core.windows.net/images/0045172_0.png,"Nature Valley <br/>
Granola Bars- Variety Pack <br/>
<span style= ""color: gray""> 254G </span>",$5.85,,False
57193,False,https://a4ucontent.blob.core.windows.net/images/0018938_0.png,N/Valley Granola Bar OATS'N Honey 252G,,prod-data-id57193,https://a4ucontent.blob.core.windows.net/images/0018938_0.png,"Nature Valley <br/>
Granola Bar Oats and Honey <br/>
<span style= ""color: gray""> 252G </span>",$5.85,,False
57484,False,https://a4ucontent.blob.core.windows.net/images/0014206_0.png,N/Valley Granola Bar Roasted Almond 252G,,prod-data-id57484,https://a4ucontent.blob.core.windows.net/images/0014206_0.png,"Nature Valley<br/>
Roasted Almond Granola Bar <br/>
<span style= ""color: gray"">252G</span>",$5.85,,False
58199,False,https://a4ucontent.blob.core.windows.net/images/0045124_0.png,U/Tobys Bar Chewy Choc Chip 185G,,prod-data-id58199,https://a4ucontent.blob.core.windows.net/images/0045124_0.png,"UNCLE TOBY'S <br/>
Muesli Bar- Chewy- Choc Chip <br/>
<span style= ""color: gray""> 185G </span>",$6.55,,False
1542,False,https://a4ucontent.blob.core.windows.net/images/0045127_0.png,U/Tobys Chewy Bar F/Fruits 185G,,prod-data-id1542,https://a4ucontent.blob.core.windows.net/images/0045127_0.png,"UNCLE TOBY'S <br/>
Muesli Bar- Chewy- Forest Fruits <br/>
<span style= ""color: gray"">185G</span>",$6.55,,False
120918,False,https://a4ucontent.blob.core.windows.net/images/0042502_0.png,"Prevail Ex ABSORB(S)ADULT20-30""(51-86CM)",,prod-data-id120918,https://a4ucontent.blob.core.windows.net/images/0042502_0.png,"Prevail <br/>
Extra Absorb(s) Adult <br/>
<span style=""color:gray""> 20-30"" (51-86cm) </span>
",$21.80,,False
21435,True,https://a4ucontent.blob.core.windows.net/images/0010224_0.png,Prevail Protective Adult Pants M 10S,,prod-data-id21435,https://a4ucontent.blob.core.windows.net/images/0010224_0.png,"Prevail <br/>
Protective Adult Pants <br/>
<span style= ""color: gray""> (M) 10S </span>",$12.90,,False
21436,True,https://a4ucontent.blob.core.windows.net/images/0010225_0.png,Prevail Protective Adult Pants L 10S,,prod-data-id21436,https://a4ucontent.blob.core.windows.net/images/0010225_0.png,"Prevail <br/>
Protective Adult Pants <br/>
<span style= ""color: gray""> (L) 10S </span>",$12.90,,False
22407,True,https://a4ucontent.blob.core.windows.net/images/0005123_0.png,Softess Adult Diapers M 10S,,prod-data-id22407,https://a4ucontent.blob.core.windows.net/images/0005123_0.png,"Softess <br/>
Adult Diapers - Medium <br/>
<span style= ""color: gray""> 10S </span>",$5.60,,False
